"Gender","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"Female",5,3,4.8,3.6,1.2,1.2,0,2,3,3,5,29,25,30,1,"B",34,"D",2268,8200,696
"Male",4,5,3.6,4.8,6,1.2,0,5,1,1,2,43,16,10,1,"B",4,"L",322,2497,1017
"Female",3,1,3.6,1.2,4.8,3.6,0,3,3,5,4,17,16,30,3,"B",0,"L",7049,4746,806
"Female",4,1,4.8,4.8,6,3.6,0,5,3,1,3,30,4,30,3,"B",155,"L",8612,9495,2259
"Female",4,2,6,1.2,4.8,3.6,0,3,1,4,5,37,4,30,3,"P",0,"L",5068,4760,946
"Female",4,2,2.4,1.2,1.2,2.4,0,5,1,2,4,33,4,20,2,"B",0,"L",2871,650,550
"Female",3,5,3.6,3.6,3.6,6,0,3,3,3,3,57,25,50,5,"P",0,"L",8674,2380,879
"Female",2,5,4.8,6,6,1.2,0,5,3,4,5,57,25,10,5,"P",18,"L",1672,4874,331
"Female",1,5,4.8,2.4,3.6,6,0,3,1,1,3,24,16,50,2,"B",0,"L",6305,1544,550
"Male",5,2,3.6,3.6,3.6,3.6,0,3,3,1,4,36,25,50,3,"B",13,"D",5598,2877,308
"Female",1,3,3.6,6,2.4,6,0,5,1,1,5,40,25,50,3,"P",0,"L",752,4771,395
"Male",5,5,4.8,1.2,2.4,6,3,5,1,3,3,19,4,20,1,"B",0,"L",9747,5742,325
"Female",1,1,4.8,4.8,2.4,4.8,0,4,1,4,4,47,9,40,5,"B",4,"L",6382,6604,476
"Male",2,4,6,2.4,1.2,4.8,0,2,1,1,2,42,9,40,4,"B",0,"L",9010,335,480
"Male",2,3,3.6,1.2,1.2,0,0,3,3,2,2,30,4,10,0,"B",0,"L",644,9644,501
"Male",4,4,4.8,6,6,0,37,5,3,4,5,42,16,40,0,"B",0,"L",2514,2908,3225
"Female",2,4,4.8,3.6,4.8,4.8,0,5,3,3,3,63,9,40,4,"P",0,"L",8420,6046,616
"Male",4,2,6,3.6,4.8,2.4,4,2,2,4,4,51,9,20,2,"B",0,"L",1214,3411,239
"Male",3,1,4.8,4.8,6,6,0,5,2,2,4,57,9,50,2,"B",13,"L",1385,8857,516
"Female",4,2,6,4.8,4.8,1.2,99,2,1,4,4,54,9,30,1,"P",20,"D",6068,371,1091
"Male",3,2,4.8,4.8,4.8,1.2,101,4,3,3,4,46,9,10,1,"B",0,"L",130,6424,102
"Male",2,2,6,2.4,3.6,6,7,4,3,5,3,30,25,10,5,"B",0,"D",2312,5483,2295
"Female",5,1,6,4.8,6,4.8,0,5,1,5,4,21,16,30,4,"B",0,"D",9657,3938,859
"Male",5,3,6,6,3.6,4.8,0,2,1,1,4,15,25,20,3,"B",9,"L",9510,4408,404
"Female",4,5,2.4,6,4.8,4.8,0,4,3,4,5,27,9,50,4,"B",14,"D",1503,3780,687
"Male",4,4,6,1.2,3.6,3.6,0,5,1,2,3,25,1,30,3,"P",0,"D",9753,3883,157
"Female",5,2,3.6,6,3.6,2.4,28,5,3,5,5,57,9,20,2,"P",0,"L",5226,1313,3755
"Female",3,2,2.4,1.2,1.2,2.4,0,2,3,4,1,47,1,30,2,"B",19,"L",2047,5862,102
"Female",2,3,4.8,3.6,4.8,4.8,0,4,3,2,4,29,16,10,4,"B",0,"D",8802,3500,677
"Male",3,2,6,6,3.6,2.4,0,3,1,5,5,21,25,30,2,"B",11,"D",172,7302,1336
"Male",2,4,4.8,1.2,2.4,6,0,1,3,1,1,63,16,20,0,"B",7,"L",2003,984,2051
"Female",5,3,4.8,6,4.8,2.4,4,4,1,2,3,25,4,30,2,"B",80,"D",2490,3233,846
"Male",3,2,3.6,1.2,4.8,6,0,5,3,4,1,57,9,30,5,"B",0,"L",4961,8551,1042
"Female",2,1,2.4,4.8,1.2,3.6,11,4,3,4,4,41,1,30,3,"B",19,"L",4850,8991,566
"Female",2,0,6,4.8,4.8,3.6,0,4,3,3,4,56,25,30,3,"B",0,"L",6879,6741,3319
"Female",3,2,4.8,4.8,3.6,2.4,0,4,1,4,3,25,9,30,4,"P",0,"D",9730,9395,231
"Male",2,2,1.2,4.8,1.2,6,48,5,1,5,2,39,9,50,5,"B",0,"L",6979,7280,238
"Male",3,2,4.8,4.8,3.6,4.8,0,4,3,2,4,60,1,40,4,"B",0,"L",3784,5932,3899
"Female",1,3,3.6,4.8,2.4,4.8,0,4,1,4,5,13,16,30,3,"P",3,"L",9578,6635,583
"Male",3,0,4.8,1.2,4.8,1.2,7,3,1,1,2,21,9,10,5,"B",38,"L",943,1144,999
"Female",4,2,6,3.6,4.8,4.8,30,2,1,2,4,19,16,20,1,"B",0,"L",9319,8593,315
"Female",2,2,2.4,3.6,6,1.2,0,3,3,5,3,47,9,10,1,"B",167,"L",5603,6849,546
"Male",4,5,4.8,2.4,4.8,3.6,0,2,3,5,2,72,4,50,0,"P",0,"L",6459,921,200
"Male",3,0,3.6,1.2,3.6,4.8,11,0,1,5,1,70,16,30,0,"P",0,"L",1121,9353,1438
"Male",2,3,3.6,3.6,3.6,3.6,3,2,1,1,3,30,1,50,2,"B",0,"L",9214,7345,630
"Male",3,1,6,1.2,4.8,6,0,1,1,1,5,27,16,40,2,"B",33,"L",5174,584,666
"Male",5,3,6,6,6,3.6,2,5,3,4,5,45,16,30,3,"B",0,"L",8630,7551,1464
"Male",5,4,2.4,4.8,4.8,4.8,0,4,3,5,4,54,16,40,4,"P",0,"L",7881,2918,3727
"Female",5,2,4.8,6,6,6,0,2,1,5,4,50,25,20,0,"B",0,"L",22,4542,108
"Female",3,2,3.6,3.6,4.8,6,0,4,1,4,4,26,25,10,4,"P",0,"L",1016,7301,297
"Male",2,1,2.4,6,6,6,76,4,1,4,5,25,25,30,1,"B",0,"L",4585,2110,515
"Female",3,5,4.8,4.8,4.8,2.4,0,4,3,1,4,42,1,20,5,"B",0,"L",9668,3475,3669
"Male",4,3,4.8,2.4,6,1.2,0,3,3,2,4,25,4,10,1,"P",62,"L",1417,7869,1599
"Female",4,3,6,1.2,3.6,3.6,79,1,3,2,4,21,9,40,2,"B",0,"D",2642,8599,468
"Female",4,3,4.8,2.4,2.4,3.6,60,3,3,4,2,42,9,30,3,"P",0,"L",2367,5752,2616
"Male",3,5,6,3.6,4.8,4.8,0,3,1,4,5,19,9,20,4,"B",0,"L",7721,9173,1119
"Male",3,4,4.8,2.4,2.4,1.2,0,2,1,3,4,39,4,30,2,"B",102,"L",8219,5870,812
"Female",5,4,4.8,3.6,3.6,3.6,0,2,1,4,3,43,4,30,3,"B",0,"L",3111,9464,315
"Female",4,3,6,4.8,4.8,6,0,4,3,4,4,55,16,50,3,"B",0,"L",4832,9409,3249
"Female",2,5,6,6,4.8,1.2,9,4,3,5,5,59,16,10,1,"B",0,"L",373,7168,226
"Female",3,3,4.8,4.8,3.6,6,6,4,2,3,4,50,1,50,3,"B",0,"L",545,3250,728
"Male",4,3,2.4,2.4,1.2,2.4,8,2,1,2,3,46,9,30,2,"B",17,"D",8238,872,373
"Male",2,3,1.2,4.8,4.8,3.6,0,4,3,4,4,39,16,30,3,"P",10,"L",8159,4452,1543
"Male",5,3,3.6,2.4,4.8,1.2,0,2,3,4,2,56,25,10,2,"B",56,"L",7838,8446,3532
"Female",4,2,6,3.6,3.6,3.6,66,5,3,5,2,31,1,20,3,"B",13,"L",5455,6739,1721
"Male",3,5,6,6,1.2,6,13,1,1,1,2,10,1,20,2,"P",0,"D",1366,1192,359
"Male",4,2,4.8,3.6,3.6,2.4,61,4,1,1,3,30,16,30,2,"B",24,"L",272,7729,682
"Male",3,5,3.6,6,3.6,3.6,0,3,1,2,4,36,4,30,3,"B",0,"L",3147,3972,241
"Female",5,2,4.8,4.8,4.8,2.4,0,4,3,5,4,42,25,20,2,"B",4,"L",1448,3980,1636
"Female",4,2,4.8,4.8,3.6,2.4,0,4,3,4,4,37,16,20,2,"B",0,"L",6583,8576,2637
"Female",1,2,1.2,3.6,4.8,0,0,5,1,4,1,26,16,10,3,"B",0,"D",4589,208,434
"Female",3,2,1.2,4.8,3.6,4.8,0,4,3,3,4,43,1,40,4,"B",0,"L",8553,4355,3952
"Female",3,3,2.4,3.6,6,1.2,17,5,1,4,3,11,1,30,2,"P",0,"L",6373,6267,1258
"Female",4,3,6,4.8,4.8,1.2,0,2,1,1,4,44,16,40,2,"B",44,"L",6964,8302,500
"Male",1,2,4.8,2.4,4.8,1.2,95,2,1,1,2,11,9,20,3,"B",0,"L",6230,8313,920
"Female",4,2,2.4,2.4,1.2,6,6,2,3,3,2,55,16,50,5,"B",102,"L",6223,3544,3799
"Male",4,2,3.6,3.6,1.2,4.8,0,5,3,3,4,31,16,10,3,"P",96,"L",2135,7546,1440
"Male",2,4,6,3.6,6,6,150,5,3,3,4,25,9,50,5,"P",0,"L",382,8317,2130
"Female",2,5,4.8,3.6,4.8,3.6,0,3,3,5,3,25,1,30,3,"B",0,"L",202,4344,3501
"Male",2,4,2.4,3.6,6,4.8,3,3,1,1,4,66,16,40,5,"B",0,"L",3255,8655,451
"Male",2,1,6,4.8,2.4,1.2,20,5,3,3,4,70,16,30,5,"P",3,"L",3352,7960,283
"Female",5,2,3.6,4.8,4.8,3.6,0,4,3,3,4,44,25,30,3,"P",0,"L",7202,4339,223
"Male",2,2,6,6,6,2.4,0,5,3,4,5,49,16,20,2,"B",0,"L",6420,4074,2218
"Female",4,5,2.4,2.4,3.6,6,96,3,2,3,2,70,9,30,3,"P",7,"L",1283,2204,315
"Male",3,3,6,2.4,6,4.8,28,2,1,3,2,64,9,10,2,"B",0,"L",2930,5022,599
"Male",4,1,4.8,4.8,3.6,6,0,4,3,5,4,54,16,50,5,"P",19,"L",6688,4895,554
"Female",3,2,4.8,6,1.2,6,67,2,1,2,5,52,9,30,0,"P",23,"L",6399,7442,182
"Female",4,2,1.2,4.8,3.6,3.6,0,3,1,2,5,57,25,20,5,"B",0,"L",5136,4600,1995
"Male",1,3,6,6,3.6,3.6,0,5,3,4,5,44,9,30,3,"P",0,"L",1703,5997,2296
"Female",5,0,4.8,4.8,4.8,2.4,0,4,2,4,4,47,9,40,4,"B",9,"L",2545,6951,489
"Male",2,1,4.8,4.8,3.6,4.8,98,5,3,5,3,22,9,30,1,"P",7,"L",2371,776,372
"Female",3,3,6,4.8,1.2,4.8,0,4,2,3,4,34,9,40,5,"P",0,"L",2454,3497,994
"Male",5,2,4.8,4.8,2.4,1.2,0,3,3,5,3,28,4,10,1,"P",9,"L",7613,23,1794
"Female",5,2,3.6,3.6,3.6,1.2,32,2,1,4,2,14,1,20,2,"B",8,"L",9415,1911,1431
"Male",4,2,4.8,3.6,1.2,4.8,26,3,3,4,4,30,16,40,4,"B",0,"L",3721,8559,2586
"Female",2,3,4.8,6,3.6,6,102,3,1,1,4,11,16,30,3,"B",0,"L",9054,556,1440
"Male",5,1,3.6,6,2.4,1.2,186,5,1,2,3,29,4,40,1,"B",0,"D",6499,8143,783
"Male",3,2,4.8,2.4,6,0,0,1,1,3,2,49,25,40,1,"B",0,"L",7250,4795,813
"Male",2,0,4.8,4.8,6,4.8,1,4,3,3,4,38,9,40,4,"P",0,"L",7319,3657,861
"Male",3,3,3.6,3.6,6,2.4,0,2,1,2,4,8,1,40,2,"P",0,"L",7822,5540,2288
"Male",1,3,2.4,4.8,3.6,4.8,0,2,3,4,5,12,25,40,4,"B",0,"L",3419,3889,2930
"Female",2,3,4.8,2.4,1.2,1.2,20,3,1,4,3,21,1,10,1,"B",0,"L",5659,4174,895
"Male",2,5,6,1.2,4.8,3.6,0,2,2,3,4,18,16,30,1,"B",0,"L",6143,8145,948
"Female",4,3,4.8,4.8,1.2,6,0,4,3,5,4,46,16,50,5,"B",0,"L",8725,5227,594
"Male",2,5,6,3.6,3.6,1.2,0,5,1,2,3,30,16,30,1,"B",74,"D",6891,8484,926
"Female",4,1,4.8,3.6,3.6,4.8,0,4,3,4,3,36,16,30,4,"B",0,"L",1389,635,201
"Male",1,1,3.6,6,4.8,4.8,2,3,1,3,5,7,9,20,3,"B",2,"L",9574,8444,967
"Male",2,2,1.2,4.8,4.8,6,0,4,3,3,4,46,16,50,5,"B",0,"L",152,1520,1987
"Female",2,2,4.8,4.8,4.8,6,0,5,3,4,4,41,9,30,3,"B",0,"L",514,7501,1035
"Female",2,2,3.6,1.2,4.8,3.6,0,1,1,5,4,23,1,40,3,"P",0,"D",7351,5162,216
"Female",5,3,2.4,4.8,6,2.4,0,4,3,4,4,43,16,20,2,"P",2,"L",1582,6918,1801
"Female",3,4,3.6,6,3.6,3.6,1,5,1,3,5,45,25,30,3,"B",0,"L",9451,625,758
"Male",5,4,6,3.6,4.8,4.8,0,3,3,1,5,22,9,30,3,"B",0,"L",1224,684,1118
"Female",5,3,6,6,4.8,3.6,4,2,3,3,4,47,16,40,3,"B",0,"D",8960,8617,1045
"Female",3,1,6,3.6,4.8,1.2,0,5,1,3,3,11,16,40,1,"B",0,"D",9824,4556,848
"Female",1,1,1.2,4.8,3.6,1.2,0,1,3,1,4,30,1,10,1,"B",0,"L",7304,8911,604
"Female",4,5,4.8,6,6,6,0,3,1,3,5,69,16,20,3,"P",24,"L",9317,4572,1407
"Female",4,1,2.4,3.6,1.2,0,0,5,2,5,3,45,25,40,5,"B",0,"L",5487,6327,816
"Female",3,2,6,4.8,4.8,4.8,0,4,3,4,4,49,16,40,1,"B",0,"L",5782,7011,2669
"Male",5,5,6,3.6,2.4,1.2,12,3,3,1,3,56,1,10,1,"P",0,"L",3993,6338,406
"Male",3,2,2.4,4.8,4.8,3.6,0,2,1,4,5,39,25,30,3,"B",0,"L",1395,5770,950
"Female",3,2,4.8,1.2,4.8,3.6,0,3,1,5,5,25,16,40,5,"P",0,"L",1950,6820,546
"Male",1,3,3.6,4.8,4.8,6,0,3,1,1,5,31,16,50,2,"B",0,"L",2777,7629,528
"Female",5,4,2.4,3.6,4.8,4.8,0,3,1,4,3,62,4,30,3,"P",75,"L",4249,5071,283
"Female",5,1,6,6,4.8,0,0,5,3,5,4,23,9,30,4,"B",0,"D",3380,8026,383
"Male",4,3,1.2,2.4,4.8,1.2,183,3,3,4,3,14,16,10,1,"P",0,"L",3022,1254,845
"Male",3,3,1.2,6,1.2,4.8,0,5,3,4,5,44,9,40,4,"P",0,"L",7679,2142,3071
"Male",1,2,6,4.8,3.6,6,0,4,3,5,4,49,1,50,5,"P",53,"L",1680,3352,1892
"Male",2,4,6,2.4,2.4,3.6,73,1,1,5,1,40,1,30,3,"B",7,"L",869,4157,1504
"Male",4,1,3.6,4.8,4.8,3.6,14,1,3,3,5,21,9,30,2,"B",144,"L",9072,1361,325
"Female",5,2,6,4.8,4.8,6,1,4,1,5,3,36,1,10,5,"B",28,"D",7243,314,591
"Female",4,0,6,1.2,4.8,6,69,1,3,1,3,33,4,50,4,"B",1,"L",4452,4377,3537
"Female",3,1,4.8,3.6,4.8,2.4,0,3,3,3,3,56,16,20,2,"B",0,"L",4264,5262,3357
"Male",4,1,6,2.4,4.8,2.4,0,5,1,2,3,35,16,20,2,"B",38,"L",2198,396,592
"Female",3,5,3.6,4.8,2.4,2.4,0,4,3,4,4,49,9,20,2,"B",36,"L",6647,6163,3814
"Female",3,2,4.8,6,3.6,3.6,70,5,3,5,5,45,4,30,3,"B",6,"L",7164,6875,488
"Female",4,4,4.8,3.6,2.4,4.8,4,4,1,2,5,26,16,10,3,"P",0,"L",5437,5669,680
"Female",1,1,4.8,1.2,4.8,6,0,1,1,3,1,52,9,30,1,"B",57,"L",8788,4809,783
"Male",1,3,1.2,6,4.8,3.6,0,4,3,4,5,53,16,30,3,"B",0,"L",7652,8325,190
"Male",4,3,4.8,3.6,3.6,4.8,0,3,1,4,3,62,4,40,4,"B",0,"L",3018,1502,431
"Female",1,3,6,2.4,3.6,1.2,0,2,3,4,2,39,25,10,1,"P",0,"L",4353,6566,3692
"Female",1,4,2.4,2.4,4.8,1.2,0,4,1,5,1,26,1,40,0,"P",0,"D",1696,4468,550
"Male",4,0,1.2,2.4,6,4.8,0,2,1,3,3,37,9,40,4,"B",0,"L",9991,2133,977
"Female",4,3,3.6,4.8,1.2,2.4,18,1,1,2,1,38,16,10,1,"P",0,"L",9634,8173,1235
"Male",5,1,4.8,2.4,6,4.8,0,4,1,2,4,45,1,40,4,"P",0,"L",4027,3924,536
"Male",4,5,1.2,4.8,2.4,4.8,0,3,1,3,4,54,4,30,4,"B",90,"L",5942,5514,869
"Female",4,3,3.6,2.4,4.8,6,0,2,1,2,2,52,1,10,1,"P",0,"L",9918,9758,647
"Male",2,1,6,6,1.2,4.8,0,3,1,4,5,52,25,30,3,"B",38,"L",6772,1744,387
"Male",2,1,1.2,3.6,3.6,3.6,35,2,1,3,4,27,9,30,3,"P",6,"L",5135,770,594
"Male",5,2,6,3.6,4.8,4.8,0,2,3,4,4,31,9,50,5,"B",0,"L",6958,2169,1440
"Male",4,4,4.8,6,3.6,1.2,0,5,3,3,5,59,9,10,1,"B",27,"L",7232,8349,2811
"Female",4,3,2.4,2.4,6,6,7,3,3,1,2,47,16,50,5,"P",0,"L",5823,2743,2229
"Male",3,4,4.8,6,6,0,31,5,1,4,3,34,4,40,2,"B",0,"D",2375,5202,416
"Female",1,3,4.8,2.4,2.4,6,37,2,3,3,2,40,16,50,5,"P",19,"L",5400,3869,719
"Female",1,1,6,3.6,2.4,4.8,9,2,3,4,3,46,4,40,4,"B",3,"L",1235,9457,239
"Female",3,3,4.8,6,1.2,3.6,0,5,3,1,5,40,1,40,3,"P",0,"D",7964,4687,1448
"Female",4,4,3.6,4.8,1.2,4.8,414,3,2,2,5,47,4,40,4,"B",0,"L",5635,9380,190
"Male",5,3,6,4.8,6,4.8,24,4,3,3,4,39,16,40,4,"B",0,"L",3522,8827,3587
"Female",4,1,6,1.2,3.6,1.2,0,1,1,4,1,55,4,10,1,"B",0,"L",9315,7320,667
"Female",2,4,3.6,4.8,3.6,0,0,3,1,5,4,21,9,30,5,"B",10,"D",4078,6227,351
"Male",3,3,4.8,2.4,3.6,2.4,0,3,3,5,3,28,9,50,5,"B",35,"L",6171,5289,2362
"Male",5,4,6,3.6,1.2,6,1,2,1,3,4,18,25,50,3,"B",53,"L",3787,2287,156
"Male",4,3,3.6,1.2,3.6,1.2,0,5,1,2,4,30,4,40,3,"B",0,"L",3844,7841,707
"Female",3,3,3.6,3.6,3.6,2.4,0,3,1,3,3,31,9,20,2,"B",0,"L",7622,9452,913
"Female",5,2,2.4,4.8,6,6,0,3,3,3,4,43,16,40,0,"B",0,"L",6989,8585,189
"Male",4,1,6,3.6,6,4.8,0,4,3,3,4,22,25,20,4,"B",0,"D",2147,6003,997
"Female",2,2,4.8,6,4.8,6,84,1,2,4,5,41,16,20,1,"B",0,"L",8593,7329,1026
"Female",3,4,4.8,4.8,4.8,3.6,51,4,3,4,4,49,9,30,3,"B",139,"L",491,925,3697
"Female",3,1,3.6,6,6,0,0,5,3,2,5,37,4,40,0,"B",0,"L",2874,687,280
"Female",4,2,4.8,3.6,2.4,4.8,0,5,1,3,5,21,25,40,2,"B",11,"L",775,9811,2052
"Male",1,3,4.8,2.4,6,3.6,0,4,1,4,1,24,9,30,3,"B",0,"L",1889,3610,1546
"Female",5,1,4.8,4.8,1.2,1.2,0,3,1,5,2,29,16,20,2,"B",34,"L",8209,6861,2475
"Male",3,5,6,2.4,4.8,4.8,3,3,2,3,4,23,16,40,4,"B",0,"L",6023,493,843
"Male",3,4,3.6,6,4.8,6,6,5,1,4,5,51,25,10,0,"P",0,"L",1710,9557,235
"Male",3,1,6,3.6,3.6,4.8,0,1,1,4,2,49,1,50,1,"B",131,"L",6144,2589,102
"Female",2,5,4.8,3.6,6,1.2,6,3,1,4,3,29,1,40,1,"B",0,"D",5508,6028,1195
"Male",4,3,6,2.4,4.8,4.8,34,1,1,5,2,64,16,10,1,"P",0,"L",3848,2421,577
"Female",4,4,4.8,6,6,3.6,1,5,1,5,2,40,4,30,2,"B",0,"L",3498,3234,449
"Male",2,2,3.6,6,6,4.8,0,5,3,3,5,37,16,40,4,"P",0,"L",824,8836,308
"Female",5,5,6,1.2,3.6,2.4,0,2,3,4,4,25,1,40,1,"P",0,"D",1336,6416,1242
"Male",4,4,1.2,3.6,4.8,1.2,15,1,1,4,2,23,1,10,1,"B",1,"L",5392,3895,670
"Male",3,3,4.8,1.2,4.8,3.6,51,1,1,3,4,25,9,30,3,"B",4,"D",7244,6986,700
"Female",1,2,2.4,6,3.6,4.8,2,1,1,5,5,58,25,10,1,"P",0,"L",9470,8188,1440
"Male",3,1,4.8,3.6,6,2.4,0,4,3,4,4,22,16,20,2,"B",0,"L",3921,2220,2677
"Male",5,5,4.8,6,4.8,0,0,5,3,1,5,22,25,50,4,"P",0,"D",2960,6159,414
"Female",2,1,4.8,3.6,1.2,3.6,0,3,1,2,2,30,1,40,3,"P",0,"D",8336,5429,846
"Male",1,4,1.2,2.4,6,4.8,12,1,2,1,3,10,1,40,4,"B",0,"L",7503,731,550
"Female",3,2,3.6,3.6,6,1.2,0,5,3,4,4,29,9,10,1,"B",0,"L",8695,6786,3204
"Female",2,1,6,6,4.8,6,241,5,1,5,4,31,25,20,3,"B",0,"L",9552,491,192
"Male",4,3,6,2.4,3.6,0,15,1,1,3,2,68,25,30,1,"P",0,"L",4657,2633,547
"Male",3,1,2.4,4.8,6,4.8,0,4,3,5,4,58,16,40,4,"B",6,"L",6695,8161,2402
"Female",5,2,6,3.6,4.8,3.6,0,2,3,3,5,35,9,50,3,"B",0,"D",3136,7219,1188
"Female",3,1,3.6,6,3.6,1.2,0,5,3,1,5,56,9,10,1,"B",0,"L",9636,6840,3817
"Female",2,3,6,4.8,3.6,1.2,0,4,3,3,4,49,9,10,1,"P",0,"L",4240,4960,352
"Male",4,5,2.4,6,6,3.6,0,4,3,5,5,80,9,30,3,"B",21,"L",3305,4220,548
"Male",1,2,4.8,1.2,1.2,4.8,2,1,1,1,3,41,16,40,4,"B",136,"L",5467,3863,101
"Female",2,1,3.6,1.2,6,6,1,1,3,3,2,31,25,50,5,"P",29,"L",7144,7579,787
"Male",1,2,2.4,1.2,2.4,4.8,0,1,3,2,4,28,4,40,4,"B",0,"L",404,40,719
"Male",3,4,6,6,6,6,0,2,1,5,5,61,16,20,2,"B",0,"L",6161,7637,814
"Male",2,1,3.6,6,6,4.8,4,4,3,4,4,30,16,40,4,"B",0,"L",3204,3816,2034
"Female",3,2,2.4,6,4.8,4.8,0,5,3,5,5,60,25,40,4,"B",0,"L",9809,7613,2297
"Female",3,5,6,6,6,6,0,5,3,4,5,46,25,50,5,"B",19,"L",3675,3853,2848
"Female",2,2,6,6,1.2,4.8,17,5,3,3,5,49,25,40,4,"P",0,"L",1667,10000,3599
"Male",2,1,4.8,3.6,4.8,2.4,0,3,3,3,3,68,9,40,4,"B",0,"L",1614,2728,2078
"Male",3,2,2.4,4.8,6,1.2,0,4,3,1,4,61,4,10,4,"B",0,"L",8240,3944,3507
"Male",5,3,3.6,3.6,2.4,2.4,23,2,1,1,4,54,16,20,2,"P",0,"L",9175,2848,503
"Male",2,4,4.8,6,3.6,3.6,0,4,3,4,5,50,16,30,3,"B",33,"L",7616,9752,2342
"Male",5,1,3.6,6,3.6,2.4,0,5,3,2,5,33,1,20,4,"P",0,"L",8374,2750,645
"Female",3,2,3.6,4.8,4.8,2.4,0,5,3,4,4,56,16,20,4,"B",0,"L",8876,3984,1838
"Male",3,1,3.6,1.2,2.4,4.8,0,1,2,3,1,48,9,40,5,"B",0,"L",4164,3765,86
"Female",4,4,6,2.4,6,4.8,0,3,3,2,2,37,16,40,4,"B",0,"L",8260,6257,208
"Male",2,2,6,3.6,4.8,6,0,2,3,4,3,42,1,50,5,"B",0,"L",2158,2272,2352
"Male",1,2,3.6,3.6,3.6,4.8,0,5,3,1,5,37,16,40,4,"B",0,"D",3871,9727,612
"Female",4,3,4.8,4.8,4.8,2.4,25,4,3,1,4,50,4,20,2,"P",0,"L",6866,961,151
"Female",1,2,1.2,4.8,1.2,4.8,0,2,1,4,4,62,4,40,2,"P",0,"L",7046,5705,612
"Male",2,1,6,3.6,3.6,1.2,0,1,1,4,4,20,4,40,4,"P",0,"D",3286,7274,221
"Male",3,1,3.6,1.2,6,0,0,1,1,4,5,16,4,10,3,"B",0,"D",1014,997,237
"Male",5,2,4.8,4.8,2.4,0,0,2,1,2,5,17,9,30,1,"B",0,"L",7504,3386,2105
"Female",1,1,2.4,2.4,2.4,1.2,0,5,3,5,3,23,25,10,1,"P",0,"L",7953,5122,3798
"Female",3,3,6,4.8,6,0,0,2,3,3,5,21,25,20,0,"B",16,"D",7662,2044,307
"Female",5,1,1.2,6,6,2.4,11,5,3,2,5,36,9,20,2,"B",0,"L",4094,2885,1934
"Female",2,3,3.6,1.2,1.2,0,8,5,3,4,3,32,9,30,0,"B",128,"L",7535,6017,2522
"Female",1,1,4.8,1.2,4.8,1.2,29,5,2,1,4,39,16,10,5,"P",0,"L",1621,9031,304
"Female",5,5,2.4,2.4,6,3.6,50,4,1,1,3,10,1,30,4,"B",89,"D",7472,1148,589
"Male",5,4,1.2,3.6,6,6,0,5,3,5,4,25,9,50,5,"B",77,"L",410,7387,3455
"Female",3,2,4.8,4.8,6,2.4,0,4,3,3,4,63,16,30,3,"B",0,"L",5982,3616,3104
"Female",3,4,3.6,6,3.6,1.2,0,3,3,4,5,17,9,10,1,"B",0,"L",5193,9773,3083
"Male",1,5,4.8,6,3.6,4.8,0,2,1,5,5,56,25,40,2,"B",0,"L",3120,5899,1542
"Female",3,1,3.6,6,6,4.8,0,3,2,1,5,58,9,40,3,"P",22,"L",6002,9757,602
