"Gender","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","class"
"Female",2,4,4.8,3.6,4.8,6,0,4,2,5,2,35,25,50,5,"B",0,"L",8353,3763,266,"Y"
"Male",5,5,4.8,4.8,1.2,6,7,4,3,1,4,50,16,50,5,"B",0,"L",2529,9715,3116,"N"
"Male",3,3,4.8,1.2,4.8,3.6,0,3,2,1,4,27,9,30,4,"P",20,"L",7198,292,1276,"N"
"Male",3,5,4.8,4.8,6,6,0,4,3,3,4,38,9,50,5,"P",27,"L",2127,6669,1507,"Y"
"Male",1,1,1.2,4.8,3.6,2.4,3,4,3,1,4,37,16,20,2,"B",58,"L",3163,9379,190,"Y"
"Female",5,3,3.6,4.8,3.6,1.2,0,4,3,3,4,53,16,10,1,"P",56,"L",3951,8453,2895,"Y"
"Male",2,1,2.4,3.6,1.2,2.4,151,4,3,4,5,59,16,20,2,"B",0,"L",3639,1618,1464,"Y"
"Male",1,3,1.2,3.6,1.2,0,8,4,3,4,5,26,25,30,0,"P",0,"D",8768,3100,240,"Y"
"Male",3,2,4.8,6,4.8,2.4,0,4,3,3,5,34,9,10,2,"B",0,"D",314,432,879,"N"
"Female",3,2,3.6,1.2,2.4,4.8,0,2,3,3,1,62,9,30,2,"P",0,"L",790,1189,399,"N"
"Male",3,2,6,6,6,6,0,5,1,1,4,22,25,50,3,"B",0,"D",8432,9551,543,"N"
"Female",2,0,4.8,2.4,6,1.2,0,5,1,2,4,57,4,30,3,"B",0,"L",6525,9957,1189,"N"
"Female",3,4,4.8,4.8,6,4.8,0,3,1,3,4,59,9,40,3,"P",9,"L",1321,7633,425,"N"
"Female",5,3,4.8,1.2,4.8,4.8,0,3,1,2,4,30,1,30,3,"P",3,"D",1693,662,89,"N"
"Female",1,4,4.8,3.6,4.8,4.8,0,2,3,5,4,28,9,40,4,"P",2,"L",3668,3912,551,"Y"
"Female",5,2,4.8,2.4,1.2,2.4,0,4,1,1,3,26,16,30,2,"B",0,"D",5117,5417,692,"N"
"Female",5,1,4.8,3.6,4.8,3.6,0,2,3,4,4,26,9,30,3,"P",0,"L",3215,4435,1968,"Y"
"Female",3,4,6,3.6,3.6,6,0,3,1,4,3,58,9,50,5,"B",32,"L",3693,9566,1597,"N"
"Female",1,4,4.8,6,3.6,6,1,3,1,3,4,51,25,10,3,"P",0,"L",8267,2654,223,"N"
"Female",1,3,4.8,6,6,1.2,0,5,3,5,5,33,1,10,1,"P",53,"L",7223,2843,347,"Y"
"Female",3,1,4.8,4.8,6,4.8,43,1,1,3,3,38,9,40,4,"P",0,"L",2177,7836,335,"N"
"Female",4,3,2.4,1.2,3.6,6,0,1,2,5,5,26,9,40,2,"B",0,"L",7872,6803,646,"N"
"Female",3,2,2.4,2.4,3.6,6,3,2,1,4,2,50,16,20,2,"B",11,"L",4938,6350,190,"N"
"Female",1,3,3.6,4.8,2.4,3.6,0,2,3,4,4,22,9,30,5,"B",0,"L",1660,501,2734,"Y"
"Male",5,3,6,4.8,3.6,3.6,0,4,3,5,4,48,25,30,3,"P",0,"L",3436,7129,693,"Y"
"Male",3,3,4.8,1.2,6,2.4,2,4,1,5,1,43,1,20,2,"B",5,"L",4561,5311,406,"Y"
"Male",1,5,4.8,4.8,4.8,6,24,4,3,4,4,51,9,50,5,"B",6,"L",5970,264,2513,"Y"
"Male",1,2,4.8,1.2,4.8,1.2,0,1,3,4,1,44,4,10,1,"P",0,"L",4071,1098,1587,"N"
"Female",2,2,4.8,6,3.6,4.8,0,3,3,4,1,24,16,40,4,"B",3,"L",9707,3555,954,"Y"
"Male",4,2,4.8,3.6,4.8,2.4,13,4,1,1,4,50,4,40,3,"P",4,"L",4079,6030,896,"N"
"Female",5,2,6,6,2.4,4.8,2,4,1,5,4,41,16,30,4,"B",0,"L",1712,7747,304,"Y"
"Female",5,2,2.4,4.8,1.2,3.6,0,1,3,5,1,11,9,30,3,"B",0,"L",254,350,1237,"Y"
"Male",4,5,2.4,4.8,4.8,3.6,3,3,1,4,4,44,9,30,3,"P",17,"L",6061,4807,119,"N"
"Male",4,0,6,1.2,2.4,2.4,34,5,1,5,2,27,25,40,2,"P",0,"D",8328,3712,977,"N"
"Female",5,3,6,2.4,1.2,2.4,0,1,3,4,5,25,16,20,4,"B",10,"L",7901,4190,399,"Y"
"Female",4,5,4.8,4.8,1.2,1.2,0,4,1,2,4,47,1,30,4,"B",4,"L",987,2130,349,"N"
"Female",3,1,3.6,3.6,6,4.8,0,3,3,4,3,67,16,20,3,"P",0,"L",3822,5032,936,"N"
"Male",5,1,6,6,2.4,4.8,0,5,2,5,2,45,25,40,4,"B",0,"L",1041,2536,347,"Y"
"Female",1,4,6,1.2,6,4.8,0,3,1,3,1,68,16,40,3,"B",2,"L",9956,5795,1182,"N"
"Male",5,2,2.4,4.8,3.6,1.2,0,3,1,2,4,50,4,40,3,"B",0,"L",3919,2861,1620,"N"
"Female",3,4,6,4.8,4.8,4.8,14,4,1,5,3,25,16,40,4,"B",0,"D",969,4885,691,"N"
"Male",2,2,6,1.2,4.8,4.8,7,4,1,3,1,59,4,20,4,"P",8,"L",9990,671,868,"Y"
"Male",3,0,2.4,1.2,6,3.6,0,3,2,5,3,30,9,30,3,"B",136,"L",260,4198,106,"Y"
"Female",1,2,4.8,1.2,1.2,1.2,0,1,3,2,1,42,9,10,1,"B",0,"L",8615,9103,414,"N"
"Female",2,3,3.6,6,6,4.8,15,4,3,4,5,18,25,40,4,"B",1,"L",9980,6422,2901,"Y"
"Male",3,2,4.8,6,6,4.8,0,4,1,5,5,35,9,10,2,"B",0,"L",2338,4740,1139,"N"
"Female",5,2,4.8,2.4,2.4,1.2,0,2,3,3,3,28,9,10,1,"B",0,"L",3835,3218,1628,"N"
"Male",4,3,4.8,6,4.8,4.8,0,5,3,5,5,53,25,40,4,"B",63,"L",883,6779,125,"Y"
"Female",4,4,6,4.8,4.8,1.2,18,1,3,1,3,30,1,10,1,"B",5,"L",6884,4176,3500,"N"
"Female",5,4,4.8,4.8,6,4.8,0,4,1,4,4,70,9,30,4,"B",21,"L",8810,6400,213,"N"
"Female",5,4,4.8,2.4,6,6,20,1,1,4,1,65,1,30,3,"P",0,"L",1960,8426,427,"N"
"Female",4,3,4.8,4.8,6,4.8,0,3,3,4,5,22,9,20,5,"B",14,"D",875,6186,1033,"Y"
"Female",4,2,6,4.8,6,1.2,0,4,1,1,4,28,1,30,2,"B",0,"D",725,6316,468,"N"
"Female",3,5,6,6,6,4.8,0,2,1,3,5,50,25,30,2,"B",70,"L",1198,7403,365,"N"
"Female",4,3,4.8,2.4,6,6,6,4,1,4,2,52,9,10,4,"B",16,"L",304,4298,337,"N"
"Male",1,2,3.6,3.6,4.8,6,0,1,1,3,3,42,4,30,3,"P",0,"L",7207,9911,562,"N"
"Female",2,2,6,4.8,4.8,6,3,2,2,4,4,63,25,20,2,"P",2,"L",6386,5133,270,"N"
"Female",2,3,3.6,4.8,4.8,6,0,2,1,2,5,23,9,40,3,"P",0,"D",3785,9170,622,"N"
"Male",1,4,4.8,3.6,1.2,4.8,0,2,1,1,5,22,9,10,3,"B",71,"L",5716,5992,712,"N"
"Female",3,1,3.6,6,4.8,6,41,4,1,1,4,18,16,10,1,"B",0,"L",8233,181,1598,"N"
"Female",1,3,1.2,4.8,3.6,4.8,36,2,1,3,4,65,9,10,2,"B",44,"L",448,6665,413,"N"
"Female",4,1,2.4,3.6,4.8,2.4,10,1,1,3,3,24,4,30,2,"B",19,"D",2526,4439,1157,"N"
"Female",5,1,6,2.4,6,1.2,0,4,3,3,5,30,9,10,1,"B",23,"L",7264,9686,2588,"Y"
"Male",4,1,4.8,4.8,2.4,3.6,0,4,3,5,4,47,9,40,4,"B",63,"L",9995,5075,1984,"Y"
"Female",3,5,6,1.2,1.2,1.2,0,4,1,2,3,37,16,20,1,"B",4,"L",843,2583,972,"N"
"Female",4,1,4.8,2.4,4.8,6,0,3,1,1,1,17,16,30,1,"B",0,"L",7601,8045,280,"N"
"Male",5,1,6,6,2.4,6,2,2,1,5,5,57,4,10,2,"B",36,"L",5846,8822,2329,"N"
"Female",4,2,1.2,6,4.8,3.6,0,5,1,5,5,23,9,30,3,"P",0,"D",7945,4515,728,"N"
"Female",1,4,4.8,6,2.4,2.4,0,5,3,4,5,34,16,20,2,"B",13,"L",3728,7426,2248,"Y"
"Male",3,2,3.6,6,6,2.4,2,4,3,5,2,28,4,20,2,"B",11,"L",5058,1799,3212,"Y"
"Male",4,5,4.8,3.6,3.6,4.8,0,4,1,3,3,70,25,10,4,"B",0,"L",9096,352,1172,"N"
"Male",4,2,6,6,6,0,13,5,3,3,5,50,16,40,0,"B",34,"L",6480,952,248,"Y"
"Female",3,3,4.8,6,6,3.6,0,5,3,5,5,44,9,30,3,"B",13,"L",4859,9801,2847,"Y"
"Female",3,5,1.2,4.8,6,4.8,0,4,3,3,4,46,9,40,4,"B",0,"L",9783,6555,3518,"Y"
"Male",2,5,4.8,6,2.4,3.6,4,5,3,3,5,45,25,50,5,"B",0,"L",656,76,1460,"Y"
"Male",5,4,3.6,4.8,3.6,3.6,0,5,3,4,4,41,9,30,3,"P",5,"L",3740,4076,1400,"Y"
"Male",5,5,1.2,3.6,4.8,1.2,0,2,3,4,5,25,9,10,5,"B",9,"L",1974,2725,2443,"Y"
"Male",1,1,3.6,4.8,6,2.4,2,4,3,4,4,58,9,20,2,"P",125,"L",8133,6534,2364,"Y"
"Male",5,2,1.2,4.8,3.6,6,0,4,3,4,4,44,25,50,5,"P",0,"L",9667,2553,373,"Y"
"Female",4,5,3.6,3.6,2.4,6,31,4,1,5,5,66,16,10,3,"B",0,"L",1059,3901,862,"N"
"Male",2,2,4.8,4.8,3.6,2.4,3,5,3,4,4,42,25,30,2,"B",49,"D",1464,5789,317,"N"
"Female",4,2,2.4,4.8,3.6,4.8,0,5,1,1,4,55,16,10,3,"B",20,"L",9245,3273,983,"N"
"Female",3,3,6,6,4.8,4.8,0,3,1,2,4,21,16,30,4,"B",10,"D",7893,4544,966,"Y"
"Male",5,2,6,6,2.4,3.6,32,5,3,1,5,57,9,30,3,"B",0,"L",8864,2704,1618,"Y"
"Male",2,4,6,4.8,4.8,4.8,0,4,1,3,3,37,4,30,2,"B",0,"D",3126,3868,453,"N"
"Male",5,3,2.4,1.2,3.6,3.6,108,4,1,4,4,27,1,40,3,"B",0,"D",1405,9620,1189,"N"
"Female",4,2,1.2,4.8,4.8,4.8,0,4,3,5,4,40,9,40,4,"P",0,"L",3525,7323,1027,"Y"
"Female",4,2,2.4,4.8,4.8,6,0,4,3,3,4,46,9,50,5,"P",68,"L",9534,3446,2283,"Y"
"Male",3,4,3.6,2.4,6,3.6,43,1,1,1,3,8,16,40,3,"B",0,"L",3190,5522,139,"N"
"Male",5,4,3.6,3.6,1.2,4.8,0,2,1,2,4,38,16,50,3,"B",0,"L",8342,8917,845,"N"
"Male",5,4,2.4,4.8,2.4,3.6,0,5,3,5,4,23,25,10,5,"P",0,"D",3865,2352,223,"Y"
"Female",1,4,4.8,6,2.4,1.2,0,4,3,4,3,31,9,10,1,"B",26,"L",1230,8003,460,"Y"
"Female",5,2,6,4.8,2.4,4.8,65,5,1,3,5,25,9,30,3,"B",0,"L",707,6958,1416,"N"
"Female",3,4,4.8,3.6,1.2,4.8,3,2,1,4,5,49,9,40,4,"B",0,"L",922,1404,1235,"Y"
"Male",5,4,3.6,4.8,2.4,4.8,6,5,1,2,3,65,9,40,1,"P",0,"L",3281,8210,606,"N"
"Female",1,4,4.8,6,2.4,3.6,14,5,3,3,5,31,16,20,2,"B",0,"L",1458,6717,802,"N"
"Female",4,4,6,3.6,3.6,0,0,5,1,5,4,46,16,10,2,"P",0,"L",8511,1582,550,"N"
"Male",3,4,6,4.8,6,6,0,4,1,4,4,51,25,50,4,"P",0,"L",6447,2085,102,"N"
"Female",4,1,4.8,3.6,6,2.4,33,5,3,4,4,30,25,20,2,"B",0,"L",9408,6494,3370,"Y"
"Female",4,1,3.6,2.4,2.4,4.8,43,2,3,2,2,36,1,40,4,"B",0,"L",3959,2107,312,"N"
"Female",3,1,2.4,6,6,4.8,18,5,3,3,5,58,9,40,4,"B",0,"L",4050,5966,1023,"Y"
"Female",4,1,2.4,3.6,4.8,4.8,0,2,3,5,5,33,25,40,5,"B",10,"L",902,4543,151,"Y"
"Female",5,4,3.6,6,6,1.2,19,5,3,5,5,43,16,10,1,"B",0,"L",5072,3776,872,"Y"
"Female",3,2,4.8,6,4.8,2.4,0,2,3,5,5,31,25,20,2,"B",0,"L",7022,4473,3466,"Y"
"Male",2,5,4.8,6,6,1.2,55,5,3,5,5,59,16,30,3,"B",0,"L",381,2496,2212,"Y"
"Female",2,2,6,3.6,3.6,6,14,4,3,4,5,38,16,30,5,"B",0,"D",4278,4490,1406,"Y"
"Female",2,5,2.4,3.6,2.4,4.8,0,1,1,4,2,44,1,50,2,"B",0,"L",801,5357,192,"N"
"Female",4,5,6,6,3.6,4.8,12,4,3,4,5,56,9,40,4,"B",0,"L",8795,3618,867,"Y"
"Male",5,3,4.8,2.4,3.6,2.4,0,3,1,3,3,27,4,30,2,"B",81,"D",6780,8043,1455,"N"
"Male",3,2,1.2,6,4.8,4.8,0,2,2,3,4,12,25,10,3,"P",14,"L",5806,8673,436,"N"
"Female",4,3,4.8,3.6,3.6,4.8,12,4,3,5,3,41,16,40,4,"B",87,"L",4669,431,2710,"Y"
"Female",2,3,4.8,4.8,2.4,6,14,4,3,5,4,43,25,50,3,"B",0,"L",1805,2542,3351,"Y"
"Male",4,1,1.2,3.6,4.8,2.4,0,3,3,5,5,32,9,20,2,"P",0,"L",3113,7443,2556,"Y"
"Female",5,3,3.6,4.8,6,4.8,8,5,1,3,3,31,16,40,2,"B",0,"L",4010,6036,370,"N"
"Male",4,4,4.8,1.2,1.2,1.2,35,1,3,1,4,29,1,10,1,"B",0,"L",269,2742,2515,"N"
"Female",2,3,2.4,3.6,1.2,6,0,5,1,3,1,36,16,30,4,"B",9,"D",4281,787,228,"N"
"Male",1,1,4.8,1.2,4.8,1.2,2,1,1,1,4,16,4,30,4,"B",0,"L",888,8367,1481,"Y"
"Female",3,5,6,3.6,1.2,2.4,0,5,3,5,5,34,9,30,2,"B",4,"D",6237,5024,373,"N"
"Female",4,5,4.8,2.4,4.8,6,0,1,1,1,3,32,1,50,5,"B",61,"L",2741,9506,1558,"N"
"Female",4,4,4.8,4.8,4.8,4.8,0,3,1,2,5,40,25,50,4,"B",4,"L",1123,4120,541,"N"
"Male",5,4,6,4.8,2.4,1.2,9,4,3,5,4,58,25,10,1,"B",0,"L",7285,6265,2269,"Y"
"Male",2,3,6,2.4,6,1.2,44,3,1,1,4,25,16,40,3,"B",7,"L",9778,9935,1521,"N"
"Male",5,1,6,6,3.6,1.2,12,5,3,5,5,41,9,10,1,"B",0,"L",7597,389,584,"Y"
"Female",1,3,6,4.8,6,3.6,3,3,1,5,1,19,25,10,2,"B",0,"L",7371,5779,592,"N"
"Male",2,4,1.2,2.4,6,3.6,0,2,1,5,2,27,1,30,0,"B",13,"L",5984,6369,220,"Y"
"Female",3,4,6,4.8,4.8,4.8,0,5,3,3,4,68,25,40,5,"B",0,"L",3984,9087,292,"N"
"Female",5,1,2.4,4.8,1.2,6,118,4,1,2,5,32,9,20,4,"B",0,"L",9659,4306,341,"N"
"Female",5,2,4.8,3.6,3.6,1.2,20,4,3,3,4,31,9,10,1,"B",22,"L",9928,8350,546,"Y"
"Male",2,3,2.4,2.4,6,3.6,0,5,1,3,5,21,25,50,2,"B",2,"L",2912,5490,594,"N"
"Female",1,3,3.6,3.6,1.2,6,39,3,3,3,3,43,9,50,5,"B",11,"L",9428,7973,211,"N"
"Female",4,2,6,6,4.8,4.8,0,2,1,3,1,20,1,20,4,"B",15,"D",9521,7906,2475,"N"
"Male",4,2,6,2.4,6,6,0,3,2,1,2,60,9,40,3,"P",0,"L",5625,3960,592,"N"
"Male",5,2,6,2.4,4.8,0,27,2,3,5,2,43,16,40,0,"B",0,"L",9764,5447,3245,"Y"
"Female",1,3,4.8,4.8,4.8,3.6,0,3,3,4,5,50,16,50,3,"B",22,"D",8921,79,1464,"N"
"Female",5,2,3.6,3.6,4.8,6,0,4,1,4,4,9,16,40,2,"B",0,"L",652,1280,351,"N"
"Male",5,4,4.8,6,6,4.8,0,5,3,3,5,55,9,40,4,"P",12,"L",6584,1852,1020,"Y"
"Female",4,5,6,3.6,4.8,4.8,3,5,1,4,4,17,9,40,3,"B",205,"L",89,7640,1235,"N"
"Female",1,2,4.8,3.6,6,4.8,13,3,3,3,4,32,1,40,4,"P",0,"L",6936,6146,2652,"N"
"Female",2,1,6,6,2.4,0,0,5,3,5,5,49,9,20,0,"B",4,"L",8020,9662,2456,"Y"
"Male",4,4,3.6,1.2,3.6,1.2,0,4,1,1,4,39,1,10,1,"B",0,"L",7949,5198,408,"N"
"Male",4,4,6,1.2,2.4,2.4,0,3,1,2,3,56,1,20,1,"P",0,"L",6242,22,404,"N"
"Female",1,4,1.2,2.4,1.2,2.4,0,1,1,4,4,45,1,20,2,"P",0,"L",5820,1968,646,"N"
"Female",5,4,3.6,6,2.4,2.4,0,2,3,5,4,38,9,20,2,"B",0,"D",2544,1506,240,"N"
"Female",3,2,4.8,2.4,6,3.6,106,2,3,4,2,40,16,30,3,"B",0,"L",9993,4214,262,"N"
"Female",5,2,4.8,1.2,3.6,4.8,0,1,1,2,3,17,4,40,3,"P",3,"D",3718,2747,163,"N"
"Male",3,3,3.6,3.6,2.4,4.8,0,2,3,4,5,38,16,20,4,"B",0,"D",4828,6810,235,"Y"
"Male",2,4,4.8,4.8,2.4,3.6,16,3,3,4,4,58,16,30,3,"B",19,"L",507,8187,2585,"Y"
"Male",4,3,4.8,3.6,3.6,2.4,8,4,1,1,4,22,9,40,2,"B",7,"D",8073,5584,1846,"N"
"Female",3,1,3.6,4.8,6,2.4,1,4,3,3,4,41,16,50,2,"B",0,"D",155,2819,1331,"Y"
"Female",3,2,4.8,3.6,6,4.8,8,2,1,3,4,68,9,40,3,"B",0,"L",4628,882,646,"N"
"Male",5,1,6,2.4,3.6,4.8,0,2,3,5,2,36,1,40,4,"B",0,"L",7377,654,1399,"Y"
"Male",2,2,4.8,4.8,4.8,6,0,5,3,3,5,27,9,10,5,"B",0,"D",2791,9638,409,"Y"
"Male",4,5,4.8,6,1.2,2.4,193,4,3,1,5,26,1,30,2,"B",0,"D",5510,1616,721,"N"
"Female",4,2,3.6,4.8,3.6,4.8,0,3,1,3,5,48,25,30,4,"P",0,"L",1221,6936,342,"N"
"Male",3,1,6,3.6,6,6,0,2,1,2,3,44,16,50,5,"B",0,"L",2216,9512,507,"N"
"Female",4,3,6,4.8,2.4,0,0,2,1,1,4,33,9,20,2,"P",0,"D",2770,5690,432,"N"
"Female",2,1,6,6,4.8,1.2,6,4,3,1,5,60,9,10,1,"B",7,"L",2246,8747,2500,"N"
"Male",5,4,1.2,3.6,4.8,1.2,0,4,1,1,3,57,4,30,4,"P",0,"L",170,8977,936,"N"
"Male",3,1,1.2,4.8,4.8,2.4,0,2,1,4,1,34,25,20,4,"B",0,"L",8703,1426,116,"Y"
"Male",5,5,1.2,6,4.8,3.6,0,5,3,2,5,39,16,10,0,"B",32,"L",4391,3659,3955,"Y"
"Male",4,2,4.8,6,4.8,1.2,112,3,1,3,5,48,4,30,3,"B",3,"L",1951,8437,2611,"N"
"Female",3,3,6,4.8,6,6,0,2,3,2,4,25,25,20,1,"B",0,"D",2405,6611,1197,"N"
"Female",4,3,4.8,4.8,4.8,4.8,21,2,1,5,5,27,16,40,1,"B",5,"L",9490,5786,836,"N"
"Male",4,2,6,4.8,1.2,4.8,0,4,1,2,5,35,9,50,2,"B",75,"L",7240,3421,333,"N"
"Male",2,3,3.6,1.2,3.6,1.2,164,2,1,1,2,20,1,20,3,"B",16,"L",7746,426,551,"N"
"Male",2,5,2.4,2.4,1.2,4.8,0,1,1,2,4,36,4,30,2,"B",3,"D",7673,2339,451,"N"
"Female",4,2,6,6,6,4.8,1,2,1,1,5,22,16,30,4,"B",0,"D",8697,1261,1005,"Y"
"Female",4,1,3.6,4.8,4.8,4.8,8,2,2,5,5,15,25,20,0,"B",0,"L",3051,3599,89,"N"
"Female",4,2,3.6,2.4,3.6,0,0,4,1,2,5,35,9,20,1,"B",28,"D",6220,3363,89,"N"
"Male",5,5,4.8,3.6,6,3.6,0,4,2,1,4,20,4,20,2,"B",24,"L",3502,2604,950,"N"
"Female",3,3,2.4,3.6,6,3.6,0,5,1,3,4,51,1,30,3,"B",44,"L",1762,1318,2079,"N"
"Female",3,3,4.8,6,4.8,4.8,31,5,1,5,5,46,9,40,4,"B",3,"L",4989,9583,925,"Y"
"Male",4,4,6,3.6,4.8,4.8,0,4,1,1,4,50,1,20,1,"B",0,"L",3562,2261,140,"N"
"Male",5,1,6,3.6,4.8,4.8,0,5,1,4,3,52,16,20,5,"B",6,"L",9818,5398,854,"Y"
"Male",2,2,2.4,3.6,2.4,4.8,23,5,2,5,4,11,25,10,1,"P",58,"L",6786,6157,337,"N"
"Female",3,3,4.8,2.4,6,1.2,62,2,1,3,3,27,9,20,1,"B",8,"D",5332,5829,1214,"N"
"Male",5,2,6,2.4,3.6,2.4,69,2,3,4,2,61,4,20,1,"B",0,"L",45,3049,376,"N"
"Male",2,5,6,1.2,4.8,6,0,2,3,4,3,18,1,50,5,"B",3,"L",2359,9771,643,"Y"
"Male",2,4,3.6,6,4.8,4.8,0,5,3,3,5,46,25,40,1,"P",59,"L",6468,6149,710,"Y"
"Male",5,3,6,2.4,1.2,3.6,2,2,1,4,2,68,9,40,2,"P",37,"L",9737,568,373,"N"
"Male",3,1,1.2,4.8,4.8,1.2,57,4,3,3,4,57,9,10,1,"P",1,"L",2916,6446,2913,"Y"
"Female",2,3,4.8,6,4.8,3.6,0,4,3,5,5,59,16,30,3,"B",17,"L",6635,5456,2802,"Y"
"Female",3,4,4.8,4.8,2.4,4.8,9,4,3,4,5,37,16,10,4,"B",0,"D",2648,5556,201,"Y"
"Female",5,4,6,6,1.2,3.6,14,4,1,5,4,39,4,30,4,"B",0,"L",4679,5905,1208,"Y"
"Female",1,1,4.8,1.2,3.6,4.8,0,4,2,5,2,30,16,40,4,"P",39,"L",5860,6919,515,"Y"
"Male",2,1,3.6,6,4.8,4.8,0,5,3,4,5,41,9,40,4,"P",0,"L",2173,4802,594,"Y"
"Male",5,1,4.8,4.8,2.4,1.2,0,1,1,4,3,21,9,20,2,"P",17,"L",5325,8610,846,"N"
"Male",3,5,4.8,3.6,2.4,6,28,3,2,4,5,67,9,30,3,"P",20,"L",9739,5228,189,"N"
"Male",5,2,2.4,4.8,4.8,2.4,0,5,3,4,3,49,16,20,2,"B",5,"L",6856,506,2701,"Y"
"Female",5,1,3.6,1.2,2.4,4.8,3,0,1,3,1,57,16,10,0,"P",0,"L",8808,4399,1547,"Y"
"Female",1,4,1.2,2.4,2.4,6,0,5,3,4,4,31,9,50,5,"B",0,"L",9763,7649,2452,"Y"
"Female",4,2,3.6,4.8,4.8,4.8,11,4,1,3,4,31,16,40,1,"P",0,"L",6632,3819,829,"N"
"Male",3,5,4.8,1.2,3.6,6,0,1,3,5,5,28,16,50,5,"B",0,"L",870,3989,3558,"Y"
"Male",3,4,3.6,6,3.6,0,82,5,3,3,5,39,16,40,0,"P",0,"L",763,750,2258,"Y"
"Male",5,0,4.8,6,3.6,1.2,463,4,3,3,4,15,9,10,1,"B",120,"L",417,7279,2075,"N"
"Female",5,3,6,3.6,6,2.4,101,5,1,3,3,35,9,20,2,"B",0,"L",1439,9627,1598,"Y"
