iter	Passed	Remaining
339	1266	2458
340	1270	2454
341	1273	2450
342	1277	2446
343	1280	2441
344	1283	2436
345	1286	2432
346	1291	2430
347	1295	2426
348	1298	2421
349	1301	2416
350	1305	2414
351	1309	2410
352	1312	2405
353	1315	2400
354	1318	2395
355	1322	2392
356	1326	2388
357	1329	2383
358	1332	2378
359	1336	2375
360	1340	2372
361	1343	2367
362	1346	2362
363	1349	2358
364	1353	2355
365	1357	2350
366	1360	2346
367	1363	2341
368	1366	2337
369	1371	2334
370	1374	2329
371	1377	2325
372	1380	2320
373	1383	2316
374	1387	2312
375	1390	2308
376	1394	2304
377	1397	2300
378	1402	2297
379	1405	2292
380	1408	2288
381	1412	2285
382	1416	2282
383	1420	2278
384	1423	2274
385	1426	2269
386	1429	2264
387	1434	2262
388	1437	2258
389	1441	2253
390	1444	2249
391	1447	2245
392	1451	2242
393	1454	2237
394	1458	2233
395	1461	2228
396	1465	2226
397	1468	2221
398	1472	2217
399	1476	2214
400	1480	2210
401	1483	2207
402	1487	2202
403	1490	2198
404	1493	2193
405	1497	2191
406	1501	2187
407	1504	2183
408	1507	2178
409	1510	2174
410	1515	2171
411	1518	2167
412	1521	2162
413	1524	2158
414	1529	2156
415	1533	2152
416	1536	2148
417	1539	2143
418	1543	2140
419	1547	2137
420	1550	2132
421	1553	2128
422	1556	2123
423	1561	2121
424	1565	2117
425	1568	2112
426	1571	2108
427	1574	2104
428	1578	2101
429	1581	2096
430	1584	2092
431	1587	2087
432	1592	2085
433	1596	2082
434	1599	2077
435	1602	2073
436	1607	2071
437	1612	2068
438	1615	2064
439	1618	2059
440	1622	2056
441	1626	2053
442	1629	2048
443	1632	2044
444	1635	2040
445	1640	2037
446	1644	2034
447	1647	2029
448	1650	2025
449	1654	2022
450	1658	2018
451	1661	2014
452	1664	2010
453	1668	2006
454	1672	2003
455	1676	1999
456	1679	1995
457	1682	1990
458	1685	1986
459	1689	1983
460	1692	1979
461	1695	1974
462	1699	1970
463	1703	1967
464	1707	1964
465	1710	1960
466	1713	1955
467	1717	1952
468	1721	1948
469	1724	1944
470	1727	1940
471	1730	1936
472	1735	1933
473	1738	1929
474	1741	1925
475	1744	1920
476	1747	1916
477	1753	1914
478	1756	1910
479	1759	1906
480	1763	1902
481	1767	1899
482	1770	1895
483	1773	1891
484	1777	1886
485	1780	1882
486	1784	1879
487	1787	1875
488	1790	1871
489	1793	1867
490	1798	1864
491	1802	1860
492	1805	1856
493	1808	1852
494	1811	1848
495	1815	1845
496	1819	1841
497	1822	1837
498	1825	1832
499	1829	1829
500	1833	1825
501	1836	1821
502	1839	1817
503	1844	1815
504	1848	1811
505	1852	1808
506	1855	1804
507	1860	1801
508	1864	1798
509	1869	1796
510	1873	1792
511	1878	1790
512	1881	1786
513	1885	1782
514	1889	1779
515	1894	1776
516	1898	1773
517	1902	1769
518	1905	1766
519	1911	1764
520	1914	1760
521	1918	1756
522	1922	1753
523	1927	1751
524	1931	1747
525	1935	1743
526	1939	1740
527	1944	1737
528	1947	1734
529	1951	1730
530	1954	1726
531	1959	1723
532	1962	1719
533	1966	1715
534	1970	1712
535	1975	1709
536	1978	1706
537	1982	1702
538	1987	1699
539	1991	1696
540	1995	1692
541	1998	1689
542	2003	1686
543	2008	1683
544	2011	1679
545	2015	1675
546	2019	1672
547	2024	1669
548	2027	1665
549	2030	1661
550	2035	1658
551	2039	1655
552	2042	1651
553	2045	1646
554	2048	1642
555	2053	1639
556	2056	1635
557	2059	1631
558	2063	1627
559	2066	1623
560	2070	1620
561	2073	1616
562	2076	1612
563	2079	1607
564	2084	1604
565	2087	1600
566	2090	1596
567	2094	1592
568	2097	1588
569	2101	1585
570	2104	1581
571	2107	1577
572	2111	1573
573	2115	1569
574	2118	1566
575	2121	1561
576	2125	1557
577	2128	1554
578	2133	1551
579	2136	1547
580	2139	1543
581	2142	1539
582	2147	1535
583	2150	1532
584	2154	1528
585	2157	1524
586	2160	1520
587	2164	1516
588	2168	1512
589	2171	1508
590	2174	1504
591	2179	1501
592	2182	1498
593	2185	1494
594	2189	1490
595	2192	1486
596	2196	1482
597	2200	1478
598	2203	1474
599	2206	1470
600	2210	1467
601	2214	1464
602	2218	1460
603	2221	1456
604	2225	1453
605	2229	1449
606	2232	1445
607	2235	1441
608	2238	1437
609	2244	1434
610	2247	1430
611	2251	1427
612	2254	1423
613	2259	1420
614	2262	1416
615	2265	1412
616	2268	1408
617	2272	1404
618	2276	1400
619	2279	1396
620	2282	1392
621	2285	1388
622	2290	1385
623	2293	1381
624	2296	1377
625	2299	1374
626	2303	1370
627	2307	1366
628	2310	1362
629	2313	1358
630	2316	1354
631	2320	1351
632	2324	1347
633	2327	1343
634	2330	1339
635	2333	1335
636	2337	1332
637	2340	1328
638	2344	1324
639	2347	1320
640	2351	1316
641	2354	1313
642	2357	1309
643	2361	1305
644	2364	1301
645	2368	1297
646	2371	1293
647	2375	1290
648	2378	1286
649	2381	1282
650	2385	1279
651	2389	1275
652	2392	1271
653	2395	1267
654	2399	1264
655	2403	1260
656	2407	1256
657	2410	1252
658	2414	1249
659	2418	1245
660	2421	1242
661	2424	1238
662	2427	1234
663	2432	1230
664	2435	1226
665	2438	1223
666	2441	1219
667	2445	1215
668	2449	1211
669	2452	1207
670	2455	1203
671	2458	1200
672	2462	1196
673	2465	1192
674	2469	1188
675	2472	1184
676	2475	1181
677	2479	1177
678	2483	1173
679	2486	1169
680	2489	1166
681	2492	1162
682	2496	1158
683	2499	1154
684	2502	1151
685	2506	1147
686	2509	1143
687	2513	1139
688	2516	1135
689	2519	1132
690	2522	1128
691	2527	1124
692	2531	1121
693	2534	1117
694	2537	1113
695	2540	1109
696	2544	1105
697	2547	1102
698	2550	1098
699	2553	1094
700	2557	1090
701	2561	1087
702	2564	1083
703	2567	1079
704	2570	1075
705	2575	1072
706	2578	1068
707	2582	1064
708	2585	1061
709	2589	1057
710	2593	1054
711	2596	1050
712	2599	1046
713	2603	1042
714	2607	1039
715	2611	1035
716	2614	1032
717	2618	1028
718	2623	1025
719	2626	1021
720	2629	1017
721	2633	1013
722	2636	1010
723	2640	1006
724	2643	1002
725	2646	998
726	2649	994
727	2653	991
728	2657	987
729	2660	983
730	2663	980
731	2666	976
732	2670	972
733	2673	969
734	2677	965
735	2680	961
736	2683	957
737	2687	953
738	2690	950
739	2694	946
740	2697	943
741	2702	939
742	2705	935
743	2708	932
744	2711	928
745	2715	924
746	2719	921
747	2723	917
748	2726	913
749	2729	909
750	2734	906
751	2737	902
752	2740	898
753	2743	895
754	2747	891
755	2751	887
756	2754	884
757	2757	880
758	2760	876
759	2765	873
760	2768	869
761	2771	865
762	2774	861
763	2778	858
764	2782	854
765	2785	850
766	2788	847
767	2791	843
768	2796	840
769	2800	836
770	2803	832
771	2806	828
772	2810	825
773	2814	821
774	2817	818
775	2821	814
776	2825	810
777	2830	807
778	2834	804
779	2838	800
780	2843	797
781	2847	793
782	2851	790
783	2855	786
784	2860	783
785	2864	779
786	2868	776
787	2871	772
788	2877	769
789	2881	765
790	2885	762
791	2890	759
792	2895	755
793	2898	752
794	2902	748
795	2908	745
796	2912	741
797	2917	738
798	2922	735
799	2926	731
800	2931	728
801	2940	725
802	2946	722
803	2958	721
804	2966	718
805	2971	715
806	2976	711
807	2982	708
808	2987	705
809	2992	701
810	2996	698
811	3001	694
812	3006	691
813	3010	687
814	3013	684
815	3017	680
816	3020	676
817	3024	672
818	3027	669
819	3030	665
820	3034	661
821	3038	657
822	3041	654
823	3044	650
824	3047	646
825	3052	643
826	3055	639
827	3058	635
828	3061	631
829	3065	627
830	3069	624
831	3072	620
832	3075	616
833	3078	612
834	3083	609
835	3086	605
836	3089	601
837	3092	597
838	3095	594
839	3100	590
840	3103	586
841	3106	582
842	3109	579
843	3113	575
844	3117	571
845	3120	568
846	3123	564
847	3127	560
848	3131	557
849	3135	553
850	3138	549
851	3141	545
852	3146	542
853	3149	538
854	3152	534
855	3155	530
856	3159	527
857	3163	523
858	3166	519
859	3170	516
860	3177	512
861	3184	509
862	3191	506
863	3198	503
864	3202	499
865	3209	496
866	3215	493
867	3218	489
868	3222	485
869	3225	482
870	3229	478
871	3232	474
872	3235	470
873	3240	467
874	3243	463
875	3246	459
876	3249	455
877	3253	452
878	3257	448
879	3260	444
880	3263	440
881	3266	437
882	3271	433
883	3274	429
884	3277	425
885	3280	422
886	3284	418
887	3288	414
888	3291	411
889	3294	407
890	3298	403
891	3302	399
892	3305	396
893	3308	392
894	3311	388
895	3315	384
896	3319	381
897	3323	377
898	3326	373
899	3330	370
900	3334	366
901	3337	362
902	3340	358
903	3343	355
904	3346	351
905	3351	347
906	3355	344
907	3358	340
908	3362	336
909	3367	333
910	3371	329
911	3375	325
912	3379	321
913	3384	318
914	3387	314
915	3390	310
916	3394	307
917	3399	303
918	3402	299
919	3405	296
920	3408	292
921	3412	288
922	3416	285
923	3419	281
924	3422	277
925	3425	273
926	3430	270
927	3433	266
928	3436	262
929	3439	258
930	3443	255
931	3447	251
932	3450	247
933	3453	244
934	3456	240
935	3460	236
936	3463	232
937	3467	229
938	3470	225
939	3473	221
940	3477	218
941	3481	214
942	3484	210
943	3487	206
944	3490	203
945	3494	199
946	3497	195
947	3500	192
948	3504	188
949	3508	184
950	3512	180
951	3515	177
952	3518	173
953	3521	169
954	3526	166
955	3530	162
956	3533	158
957	3536	155
958	3541	151
959	3544	147
960	3547	143
961	3550	140
962	3554	136
963	3558	132
964	3561	129
965	3564	125
966	3568	121
967	3572	118
968	3575	114
969	3579	110
970	3582	107
971	3586	103
972	3590	99
973	3593	95
974	3596	92
975	3600	88
976	3604	84
977	3608	81
978	3611	77
979	3614	73
980	3617	70
981	3622	66
982	3625	62
983	3628	59
984	3632	55
985	3636	51
986	3639	47
987	3642	44
988	3645	40
989	3649	36
990	3653	33
991	3656	29
992	3659	25
993	3662	22
994	3667	18
995	3670	14
996	3673	11
997	3676	7
998	3679	3
999	3684	0
